family,phi,lambda,replicate,hash_rank
periodic,0.5,4.0,201,0645ff7b6ddfa9fea2a6f46e048e5ed8743f9086abd4434812338423600a9726
periodic,0.5,4.0,202,02b4a05eb060606a21afa2b8192fc4e3822323726a7508baa9b9db78d1b5793b
periodic,0.5,4.0,210,045a204c63caee7ba88c645b851c683c16ce7834da98d55041103d00f90015da
periodic,0.5,4.0,254,02f1b77be8609e31da5e1098ccdb213b4ce0724c21a9622eb3f7e6e8cd6a6942
periodic,0.5,4.0,291,078b4ac4ca4c3c4f2b1924fb172d4216148e5e8e54736f382b0c76c4994edda8
periodic,0.8,0.0,67,025a644489087f625d5545c0dc2bf632b77fb1cb7ad843779a3fe6c27baee284
periodic,0.8,0.0,72,03fd1722e16c10c58e44ddce839224473407bad84e6dd3434953743b4c83116e
periodic,0.8,0.0,94,02cad9c32e95c93ad7a305f2dbd8fff3d0e2415271ef6fb783078608aabe4bc5
periodic,0.8,0.0,142,02688525654dbf5328b70a77930496571691a240a72b4df6d35198ce740cf571
periodic,0.8,0.0,155,0502ecab97f4d00c0e10e0699dde9cf08e085d3e867e9a14bbdbbcc17424c95f
periodic,0.8,0.0,164,0497858c81e2bd0c369eb65bec9c753e482f4eda3ebc82ccc9dbf24efa68735c
periodic,0.8,0.0,180,06f476bf19380b0a0cbce7a69adc4684b3a27db7882a1b42384b39eb640ad509
periodic,0.8,0.0,205,018747b82675aea5e1d96aafad7d08b45485b819ba7296921b2c03bc4766779d
periodic,0.8,0.0,224,07303d45d16ed31bde090f7e094976607c84e1f3bf74147c58537c0bcb6433ca
periodic,0.8,0.0,291,01445a5ca2137dd6d81e8ad30b4c5a17680036c7654b5cbce239b018bce50296
periodic,0.8,0.5,43,019f33e8db6ad50d64ae4ee89a3505aad0a8c6453d81e21d30dba528549de393
periodic,0.8,0.5,51,0857f5466006d46b4b7ab1d65ea5f17e92a1047cced584fffd70992643828e0d
periodic,0.8,0.5,53,0570960d85eaf0546a213913125f0ed5520585de087badf99811967e47a2de32
periodic,0.8,0.5,88,06ee4b9ca9b4e790169237bd4f97b5ee2732df9dade4ece426caf59e1a8a17b7
periodic,0.8,0.5,113,0032bb725f519d151fb6dd6657e5abca9bbf6cff8238aa42cd47f11edbaf6891
periodic,0.8,0.5,152,0bdd610188179ddf2fb21232e24e2f4f2f1752118b3992896fdb835a95bf279a
periodic,0.8,0.5,224,0913a2a0fe327a83568fa81263bd55a7392f2fe2d14823615f3387e241064647
periodic,0.8,0.5,248,00755b1cd3e13d7bba175d1f47521439a72d89ca09fc62c75a1b7ed76ca3d54e
periodic,0.8,0.5,249,09a58c9800f22bbcd420f93557d6a8cb360452acf1bd201eaf1d60270c8005d5
periodic,0.8,0.5,293,084c5702edd3713fa904b1df4358f64085c6ef5de116b4b5173a6c4b86480cb6
periodic,0.8,1.0,5,013f3de78a62bb6aadc72fd745aa56f092c6536a4bb0471881830ec9df4e0309
periodic,0.8,1.0,12,08a2bbebe0e73c2d6c85a01c837ffb9962a359a823910ac879ae6b6d66553204
periodic,0.8,1.0,18,03bd7bc5ab7e80987172b38d7d812c9be42ecd4c27d7379b4d5995a388c625a2
periodic,0.8,1.0,20,0983e4a3413bb13a0246b79212a0c6dcc57f87afbcd3eb1f3486bad3acec2fc3
periodic,0.8,1.0,87,00df08e04609d7c9576e09685af96d949efd112eda8809e1e00c88f4be6f84a5
periodic,0.8,1.0,145,03c564e95c0982c01a3868de9f1a16b737dfbf5f2083477203348e92a588a0ca
periodic,0.8,1.0,197,07176022d53f408dc0382d781ac8f577879ca5a045a40b5eae56ca49aed75d8a
periodic,0.8,1.0,212,00c05a98cc0d6888ffd4d236082dbddcfd50af801d7400e9493c7cf5c332bbd4
periodic,0.8,1.0,213,021ae74b9eeb3966b463ce266d283f31089a6a4a201783e8bb276ad0922ae482
periodic,0.8,1.0,244,0baba6ec68abe0a8132c40a909b876dfd71f7d60e85f936c2ccf70a3f2b6babe
periodic,0.8,2.0,24,051da77c3612b950f630de4b1f342a2aaf48109f71bb0c82b06cfffa5b0117d0
periodic,0.8,2.0,70,007236cf9d9398c6daa587bac0ef14f9f9c4bb5835f07ab9ec3cc2aae496c1dc
periodic,0.8,2.0,95,056779e43f7e915dc19636825d6afb734011ca180a50401cc6d28e6ffe137810
periodic,0.8,2.0,102,02659d4be652659dcfcd14cbf95fc5e30e6d73cde3cb74414682718af7be09b7
periodic,0.8,2.0,162,000d41f100a10132e2d73808d9746f703e3a42322ec10e50810c666d7e562046
periodic,0.8,2.0,163,0376289b8e311cd4c6eafa50af8a3dc2e56f6bafd7feee379de56ee6aef6f7a3
periodic,0.8,2.0,250,022d9bbc700c7a2f81047c200692aa28cc1ce1e07886c3982d32ddb06fdf3511
periodic,0.8,2.0,264,007d37c9814ac86fd73041d3eff88e4cca3b6b5404e3302e6635a49304467596
periodic,0.8,2.0,273,0008d39090f38099e7cca466c454a1b9986e226da2a29c5e6217b329a577645b
periodic,0.8,2.0,299,0575f576e18de58caa4e49357c15a3029ae926b48bdbdbae90bc15582c385a4f
periodic,0.8,4.0,61,025b0a669b747c362493506a9c29ba05fd2a387c51cd63c32acd07e96dc30e03
periodic,0.8,4.0,67,05601de0471b72231d8bba6b38a24ede28779280da2c9aa46de551d6fe21b558
periodic,0.8,4.0,75,073cd23ad109331f568c0fdd23addcefe54e9a5dcda3defb8117808cfae19fe0
periodic,0.8,4.0,86,06b4c0902ec275354893dc89a56c4fad9350f1cf93a7ed1a599a27987cfa86d8
periodic,0.8,4.0,111,070e2b23de07be1227ae5b5c69119748d7369f311385eab6bbe5a19a4c9b6220
periodic,0.8,4.0,115,05aff5202bb543d3d60aa76365e05f967e6a090120d8b4bc44e6e2138f2fe088
periodic,0.8,4.0,121,016d4f862e3dfa93669a7d528102ece2a7e3c6b4240aa44d9eb4e4aaa79ebe40
periodic,0.8,4.0,195,02962f8bfb4327455709a85731151a07cc753e3be09acfd124338a65943ebafc
periodic,0.8,4.0,199,03d063bb8947da983a54899ecefd28c12aded601d524a90ef2af9c2f70776fe9
periodic,0.8,4.0,264,01a783f692b050e6c92e03b74fc7cee6e519607ffeb4942ede110ebddd1b1c86
tinnov,0.2,0.0,26,0519758a139854f2f927e43cfb614f85d90b5fbf0e6d4c0f5a92a539e5a5fdf4
tinnov,0.2,0.0,60,03952a01d8756ca8880bc2c07958f9109544e850e9f9e51fb660453271e3c1e9
tinnov,0.2,0.0,112,0a723965a4ad179fabd6535a681863d128b040695e3251da375fdb832750047a
tinnov,0.2,0.0,124,076965806bfd4d42008cc1758169dc92b14dc073f7f6dc1c107a885e5a59bd94
tinnov,0.2,0.0,125,0afb960d56303cbff51872251fb889937429b02e973bed16f15729c09a3e57d1
tinnov,0.2,0.0,139,0159b84d06e0dde5826a4d07c7b7e2776873f0ce36d4e8f7d7e61d6b75b8ec4b
tinnov,0.2,0.0,142,089c3fdf96d15e1867cf8ccdac92d7d19e9f0e8ac28ee7b4c43e1d4e1b3c9444
tinnov,0.2,0.0,150,0a1ddb7bdfc27d1fafb9444ae553834b65105813e7ee0b48bcb70410c233a1f0
tinnov,0.2,0.0,210,0a11079863498afd498274fd4dae6a1ffdda87b506802e68aa0367abe3429126
tinnov,0.2,0.0,216,0cd3cad3d58f56e10b1e1319c655b1c653420bc1fabfcd35d798035f18238408
tinnov,0.2,0.5,75,06e645ec8f14b6366604c78a87b121c23b7623854605497a6ce96a8b10659c7b
tinnov,0.2,0.5,82,086f0fc061f3746322b5a59094f451a26470189062aae924f2cd8dccb4bfb620
tinnov,0.2,0.5,123,088b3a3f622501a4a9b0ec890901e2193961469b74146bff30cf5c7bf3ec2e63
tinnov,0.2,0.5,139,0a9fb1eff01d317eaa1725cb01fbbbb5b2c1909412b42ba2fce05a9f28ad8c5b
tinnov,0.2,0.5,166,063daf78881d06a8c8a963939ddad246bbdd589b01ae2a9ee6b0d6b2801b9f77
tinnov,0.2,0.5,217,061f85e31ddbf3e0ce64187b54c4133f1fd70b068a4e9d4d30fb6ed1bfc6cc87
tinnov,0.2,0.5,234,0dc428bd106fdec27e3052036d0d828e533738aa5e94f1d491bd7845005e6f4d
tinnov,0.2,0.5,237,0353c7cb670fb5887255c0562b497db5e6fcb45da00afd88a4632020a1468e8f
tinnov,0.2,0.5,255,015d8221dff0f59a7c07b62a52c455c15d496ae667148f9d781f84eb6a2ea8e1
tinnov,0.2,0.5,293,014f3cc334f3e80c1ec3a2d0175525882c0d4e9e177e6f416ef6d0afd7a59fa9
tinnov,0.2,1.0,1,0c3e0acdf5285a488f25414d534ffef25272f0e886038e26d59634adbf060f9f
tinnov,0.2,1.0,4,044691eda4735940f7b875b5b9286e5621d646f430d475c6324a268c4fb70b76
tinnov,0.2,1.0,24,0a2912f68d60797e2af5e763022d304f5b4fec9a01471f1d018396f59617bd94
tinnov,0.2,1.0,53,033e09d5ce5656105c784d9314e2cf096d6c0eaf0bd940564b2d4ef611553ea2
tinnov,0.2,1.0,70,0b89b05651cf9f8469c2ff6c524537dd172c595b747d8da244953f1550c1f53e
tinnov,0.2,1.0,96,0a1d633e837fd296ef3ef4b346c3f7df1a59dd0f45aa08805647d2704a4f6e92
tinnov,0.2,1.0,102,02167ce1952c0cf67dfc9d1db4ca06f4a3be8ec81ca66ed254b725f480cf4ad8
tinnov,0.2,1.0,177,0092b3e4d5b5d11db134268e0a5611c6f0b6cbc04232575a34c96f50649ed561
tinnov,0.2,1.0,226,00e0272f39840e62dbf5b18e92868080eb0fa66a213df132d2643ae1a89f4493
tinnov,0.2,1.0,283,0c3c0440c1123f404ef7f1f6a68aeab521c06a8b71d62fffd4e2e611e88757b0
tinnov,0.2,2.0,32,05ff2269c70f90da820f920f57addbe12850cb3b70901e4b4c8da50df8e39aaa
tinnov,0.2,2.0,152,092eb3f12e303db13fc6e540349a7a931599ab870e3b26756791d498bf3506f8
tinnov,0.2,2.0,158,058c72582ddea5158dd1a34f930f08adfb05ffb63da0752414b9e7b90f3f5302
tinnov,0.2,2.0,187,052ad319d4afa2e6ee0bb3cfc7374568824a574c73aa50648310815ba882c33b
tinnov,0.2,2.0,193,067eaa8970f7ec26720d1e6b6e6a648c8eea826243f962c55b49636bdc10809d
tinnov,0.2,2.0,199,0ba56544a70a20050ec4ada14ce267c2448ff9251daf04f342b115a9aff7677c
tinnov,0.2,2.0,241,00270f6d085af13760a7b578d447068fbe6ec1fe598de867a6bf35fc2850373d
tinnov,0.2,2.0,263,08718987c541d0b82279780779b9bc5c1ee0e9373aca321c577ff7047ac202cb
tinnov,0.2,2.0,276,07bd2a2085da0c28d2375005dbf279aa122b19398a0177e5c15743fd405441d7
tinnov,0.2,2.0,285,0a414eb7792de45820408bc62c6c2b33a8156de35e957213bf838eb03c7734b8
tinnov,0.2,4.0,29,025302fbd6a950758bdf52aad6d10e0c198835041a6f61ade219b79ece67cad7
tinnov,0.2,4.0,41,04c199c6397d9aa30c47e64181692ec69b4b9ffe88dd9260f05e0bb9d34c1c12
tinnov,0.2,4.0,51,07515a8cb90e64e78fcf2997a07ad1af3c90db1b8bfe25a8172ca309c1889a2b
tinnov,0.2,4.0,67,083bbc31bdaf1703284a34bfe8e2e2925d38fdf21c45d0d4cacf3a0e631dd1d1
tinnov,0.2,4.0,79,032c9fe3ae73cbdf0f580a49096ca272637ee71e54c51f51682d948735442378
tinnov,0.2,4.0,86,011e950c7fd761707abacf2cb54646abfae7a08629de9e1623ca23148dcd22cb
tinnov,0.2,4.0,171,0504f1af179a1e78c3eda0fe95f5939d6ef70fb15c35d9878129f23b664796eb
tinnov,0.2,4.0,174,0820d1a8263aef2491c140713d90f5b8c80b3f6d80eacad4f48ebdb50e02b648
tinnov,0.2,4.0,195,09af2a228ab792cc3801ead95b3f7b366f53d8ed866d67f1f7c3e397c4e2a62d
tinnov,0.2,4.0,261,0235c8ec38a3d4deb4b5da5c59d13970b139cbd6bdabc7d9df34d978d63f3741
tinnov,0.5,0.0,26,05ad729071f24f2f36662818bc14756515d1e69fd65d3f7b82774bb3cb9143fc
tinnov,0.5,0.0,109,048860bcec50f4333a7b8566260b4078d5eed0b337a9edeb53b921c2f5f8207b
tinnov,0.5,0.0,110,0544db3d75bf0fd4dea7b289506f3f562c58d8ba412b0f6de45df04786f45570
tinnov,0.5,0.0,112,01d8d2f9b465bd68711af8fabab0e5e220d745c18307da6f5e623b102194ac15
tinnov,0.5,0.0,113,0817d2241f955f95cc9fd99aa3ea40090ce3ba0b1242e3218cad31bfe0272465
tinnov,0.5,0.0,130,011912590895ff2db6af080d67dbdfc25176034d5fe4f5bfbc1344667485161a
tinnov,0.5,0.0,131,066afe3c088d106a3f4cc137a9e64e98e6897a9c3bb73dd80740d00ffb726ba4
tinnov,0.5,0.0,158,08c55b613e5db0f065ad605a7009d979c18b02926b0d9aabdefc245ee212bb92
tinnov,0.5,0.0,205,0174552a54724165fa8652cc21a8a6a9f49c96acd828103dac7349a9c654d9db
tinnov,0.5,0.0,265,05fae31c2f3dcf10e24c09b3d8b6f0425a77bf81d9f6536f160bf719c2cfd957
tinnov,0.5,0.5,13,00a5e6a64b7e677b0d78539faaccf7e89b4f42b49e87e4f4d57dbe7e437a81e0
tinnov,0.5,0.5,30,039a8fa13bd71b29ec4083954f8a1b433aa6e4eba06f869510a1c7df7fc0799b
tinnov,0.5,0.5,45,01061a8973fbcbdf6f135f5491057e0422a73d7f6cbf20d02678f306a42d8693
tinnov,0.5,0.5,59,041a53776dc04c5f704c7b70604fb8c153fa6a3927a0dd804eac4644165e326a
tinnov,0.5,0.5,87,03cfce29b20f56b7accf38ca9c0662945ad084cff0dab60b6b692299e835e8bf
tinnov,0.5,0.5,110,032b1be9a5b843111eed261131186a5bfef19646b0e0d5f938dd70ca4c68eb86
tinnov,0.5,0.5,143,03e3703188293a4a83ced4ee34cd612c328f47c9f7d0cc20618122cb57465b51
tinnov,0.5,0.5,236,003abbefcd9ff3246a7b81a6a93a2537f98c827fb79dfce72686ec114f1f1cf0
tinnov,0.5,0.5,260,06b00d55c8744012ddacb2dc96c432e26010b72b19087847cc72fc1033cbc382
tinnov,0.5,0.5,270,007fc31263b1af71a631661236f97eaa5961ee66ed9d93657a98ca0b18d91935
tinnov,0.5,1.0,7,05796fdbb8dce89379ac2301d1444b4eef68befe28e7d4bd1aac9d96225a0ae9
tinnov,0.5,1.0,53,03c23d197ac7177a3459fef85cbe5bd62232b9ff83ecd73b186177cb11c42b76
tinnov,0.5,1.0,84,021a9db5bb300b7fccf4932c4f46d1898ef208d5ba9683ec0f12fc68891254f5
tinnov,0.5,1.0,91,02616c0af3238b1141213e3891528f9ddfb2d3b77beb1e8662b2d8136a5d618f
tinnov,0.5,1.0,190,01b1ada9953445730a7c9e0cb93e32b855f6879cbc3351b6ea923d6f27a9e904
tinnov,0.5,1.0,203,028d632c05f5087f35013f25bc1b3cd9e001b2a5e7022a36027158c2b6e57d43
tinnov,0.5,1.0,252,02ff7c038439528f682cf113f98c712717e3f146c9457d43a818459f615b0424
tinnov,0.5,1.0,269,054c67937bc74f173acb6c1843cd7cd2716780cfd98d0253317c002e6eaccafb
tinnov,0.5,1.0,270,02030eae12be64f87dad962c0ecb8627d584ed1d33edba01f5c97615a126ac42
tinnov,0.5,1.0,284,041e8abaf63bb8cb1bce72c7f3e9cbe8b6e624949bb56b9537896ae915b1267a
tinnov,0.5,2.0,13,062c38d4de5c48848bdf255e7381cf7afd48ce7ca2f3137eb7468ee87a120c78
tinnov,0.5,2.0,32,0742f99aa4358fbf24189a073b203a10de6c360b5fe71c06662d713d299882a5
tinnov,0.5,2.0,100,0980ee71408a33f12c03097bbc6be9424f6ce12694582505d540ee69d0d29397
tinnov,0.5,2.0,116,065e53be28d3c01e6a191cd73ed04596f171d37e0f2db8b3222a4e542414a404
tinnov,0.5,2.0,146,075256f4242831c9f7c22ea611eb2b988c88bcc83fe27099d46df91ca77aab8f
tinnov,0.5,2.0,175,064c215a3fc66c1ab8bd348c44a3f6f51b424409ec4376774cebd2e642591167
tinnov,0.5,2.0,188,03f7fc7ca56372240d54e8f083f6b854dc846cecddfcc67529514215c2f5db46
tinnov,0.5,2.0,225,00b1cc7b0bd868ee19d93c33f82b87fcc14d75b9462cebcb1fbd6b7446a33c54
tinnov,0.5,2.0,277,022ed21614b83fe4eb932a615362169cae47874ff51506770edeaa47c100f29c
tinnov,0.5,2.0,288,0690aa22eaf345908c67e0a4a44c9bc93b2796cdc2d5165da1bd948654779aee
tinnov,0.5,4.0,2,043a8172a82b70b333f9eba59fefe5daad977cfa7a6019ac0782b9ebccd1e48a
tinnov,0.5,4.0,20,07b38f82ce49491e0c1d851340a58661a335c26807816a77ccb062f85ee892f1
tinnov,0.5,4.0,44,0138c986fdeaf870acb9a05f2c2a6219bbef2ce90a49699e4e04a03f4761885b
tinnov,0.5,4.0,98,076ffb0cb242fcdfd732d786a108acfd99e7bf4e1e1b708c0c7512e365419d20
tinnov,0.5,4.0,133,08b938408b256022a0af95b4e7c382cba41b4af152ae1ab42ec028d5309ce345
tinnov,0.5,4.0,171,05df2cd85b07d2e318dbd08a61821ef08671c9dee78c1340ea90f8a68ac1ce79
tinnov,0.5,4.0,223,03e6478c89e61a51526466b04b9d09c45cbbe4f9e0a1c3bb62fed09c697559d9
tinnov,0.5,4.0,240,036c217c89ce397e1b4352b7945593937ea40481bdce5cdb6bebeda9fa07161d
tinnov,0.5,4.0,271,067bba6cb7d4f2bd9484b23a52ce4ec157f92c249953a0605559f907416b3d3a
tinnov,0.5,4.0,280,000b462ae69769a83391a1d427d97a271f6a65aa3c51c0911c06fb030e3dde2b
tinnov,0.8,0.0,34,02b6a137b55b68244fc36e917eafc36bea487321fd39792a5da0cc0ccaaa5564
tinnov,0.8,0.0,35,0406c9eee6edd80b1b889382afd7f6e3f4cef7837490612d17dd4a49450b1894
tinnov,0.8,0.0,47,03b08188a6663c6656906cdd02ed7399d045b53c66e8de33ad6c54085eae938b
tinnov,0.8,0.0,84,022b3e602b8013f6cc5e94d901488e97e67811e520b511dd3e5b2460f1097b5a
tinnov,0.8,0.0,123,01e012846ef54a77b31e2eb38d279c396e6c6b08cacf22749cc4bdd7dab78c7e
tinnov,0.8,0.0,212,063252b7800d8cadd2f3f0a78026d49263e21de485ce2ddfd8278d2e1c0d7a14
tinnov,0.8,0.0,218,00d6fe7a3190ced21afb5db22463b952c54453400d20a367267982d6ef673830
tinnov,0.8,0.0,238,006e859c4e3b7da26a58549b8148af8302a09189b0c32c541b1b68256a596fdd
tinnov,0.8,0.0,266,07e101dd587e7b4f9bc5c93937a6d757402cf8407354f4c8eb6eadc19fd61537
tinnov,0.8,0.0,292,07d7cfab8f5625d5279f0e88b5b0ddebcf42afefc1ef8862666344e389ee72b1
tinnov,0.8,0.5,8,0263301002b6df6e2b099036f2bd6df70ca36cb246dbd16cc9c1c9284e0b5d29
tinnov,0.8,0.5,50,0136f64f472c565f35011d184383300009de4d32befb7db3d6e5fe6dae36b211
tinnov,0.8,0.5,79,01997e28c6d08c0f45f15b1f99a4e5abf3dac35dcc138cad3808cb73a0d33b5a
tinnov,0.8,0.5,136,0150472cef378f00cc38be876b21756093663065678ef6b81182dab941474b17
tinnov,0.8,0.5,187,048def551bacfc79fe10b33bd01d4fd297826415adfe4c698c1204b3b0146af5
tinnov,0.8,0.5,198,0433b1758df76ce5db3a8af845ca57f605158737b5f78c368ad5caf777331919
tinnov,0.8,0.5,222,00d010b63d01a6ff5c5c8abb7179dd53aeb5454982716c81fe68971085d4d516
tinnov,0.8,0.5,238,0172845996b28b7e8c6b4701fee1bfbbd3f068bd8d9a7137cbb9f6cc4579986d
tinnov,0.8,0.5,241,01b643a138f7cbfa7f69615a7b7f04a62c170bc752a47111ae75ce89b97e2ad0
tinnov,0.8,0.5,264,0211f8fec3dd10fd13cb1424dedb4b0990c791202f1faf0ef100661c956c943f
tinnov,0.8,1.0,6,034fd4cc808d9b80dd439a6bee7b68115fea7dbc3645cc35ba6a4c901a3612a2
tinnov,0.8,1.0,36,037d07cafe7e4c0ff01ab90ccec53a59a7b46e10e267904526e36691ae2ad7bb
tinnov,0.8,1.0,80,02cd67ea2c9ba37fca15ee1f78b6fcb8393121fedb868d10808a16d13e27469e
tinnov,0.8,1.0,147,02b0c93a175becc112390b7d5f551ed11e050999dc6b2361660417dfd73b9949
tinnov,0.8,1.0,150,038b2fa3687faa517a3303c2c563b0a9cd3d7db6c3855ce2457b642e1869ab34
tinnov,0.8,1.0,179,032aa02452d172e9b3f02dec62875d0b291811452c3c96169b9c94f87be8924f
tinnov,0.8,1.0,187,02327e8c19df406ebb022b0abd0640ec6612e7ea05fc522bec5d0f83e17b04e4
tinnov,0.8,1.0,217,03fc4a87bee5ecb24ce8baa8d39a2d09fb1643e2cf94e637eeeab4d6d7d21c5c
tinnov,0.8,1.0,263,03b1be7b5b00cad00f86583308181e00ebf78377d3868d1dfc6b657ec2174bdd
tinnov,0.8,1.0,268,011df3a703615dfeea802d0915ff1dafecee8b7d370afd524b671a4845d74f58
tinnov,0.8,2.0,0,0470dcd49428a0349fb895ec39dc2fafefda51b0919c1f5752d46996a96f323f
tinnov,0.8,2.0,4,042d4ae9e7c632e61db41b2a2d8a9ae1b9713a1f4b9134caae373e279afe8ec4
tinnov,0.8,2.0,17,02d93419542bbb0658d9d33dd7e17f88999ec68b4585a27c4c8a894429a5fdb2
tinnov,0.8,2.0,29,01da2193a439dea3ebe359c140c6e0071709fbe85bd1b420b23df16e8e5d5b5b
tinnov,0.8,2.0,155,02d119c0ca980d60da9640b99b6f2359ff6839077da2b75842cdaa7a93c1f2cd
tinnov,0.8,2.0,183,016167440b2a1ca675e8db7904947ce759e8b75660b42111f5b095ece8fe831a
tinnov,0.8,2.0,196,07cd1db1c2f8454f5da9d0b736c64828dfcfbfa959f49ebd5fae0cdcec91a8b1
tinnov,0.8,2.0,206,06ab35784784a63bf5ec47be842f6e6bd9487fdfbf442a82f21e40dcc2ce1489
tinnov,0.8,2.0,253,01e4077a49fed3e4bbb31c799ca2217ef0002fb1301e31ecbea8fd149fb838ed
tinnov,0.8,2.0,262,05aebf0bd7b373b93d596e429e7a7ca28bd4e1a9f42d9678f46917088f636ed6
tinnov,0.8,4.0,40,0a845533ce1caa21c000cb0eb3b42520903b271eba87570326cd7c5195baa07f
tinnov,0.8,4.0,71,036b2af6dbaaa98132b74e555ebcdf1280aa657656a077af9334e1552b621e91
tinnov,0.8,4.0,76,0bfb4d4a7819450382cec28b98f5b7bc0d3112e3b221ba00f84e6097a304a2ae
tinnov,0.8,4.0,98,0de78f2b2d6f971b00c98e5a5194fad24bcacf65e210da4babe48818797db2ce
tinnov,0.8,4.0,166,07b44f1b095ff4cd15ca949151f04a9217dcf9c02dc05e8285cbac91ada38d47
tinnov,0.8,4.0,186,09882e8c16b1e5f24084070ead1f791ae68b475eabfec1a689f4a8d0068f2236
tinnov,0.8,4.0,212,0ebedb28af9e184a6beb877518eda9f8df4057e34e5a03a0cb2a15fd61ab655d
tinnov,0.8,4.0,222,02fd3c6461ce629d8c119ed26b753effa326204f8f4a77bd53800e65a4376aca
tinnov,0.8,4.0,249,04e038f86415b607334aa1cf138404aef036d5945143a1d9378a2f8f1a855c45
tinnov,0.8,4.0,290,0195f10b98b7bfe8de841e7f13755a5699c33f5bbf40dac1a9d02d22bc673cd0
